Dataset,Words (Millions),T,TI,TIM
BLIMP,1.0,50.48,50.49,58.81
BLIMP,2.0,47.84,47.86,52.93
BLIMP,3.0,47.99,48.01,53.53
BLIMP,4.0,50.49,50.39,57.24
BLIMP,5.0,48.75,48.9,55.34
BLIMP,6.0,50.41,51.64,56.93
BLIMP,7.0,51.65,51.1,55.93
BLIMP,8.0,52.3,53.56,57.65
BLIMP,9.0,50.29,52.16,57.14
BLIMP,10.0,53.57,52.63,61.34
BLIMP,20.0,58.8,55.95,65.07
BLIMP,30.0,62.06,61.13,68.97
BLIMP,40.0,65.02,64.48,71.39
BLIMP,50.0,66.53,66.78,73.27
BLIMP,60.0,65.45,65.02,73.6
BLIMP,70.0,67.72,67.84,74.98
BLIMP,80.0,68.96,70.56,78.0
BLIMP,90.0,69.45,70.28,77.56
BLIMP,100.0,69.39,70.02,77.87
BLIMP FAST,1.0,49.8,49.75,59.4
BLIMP FAST,2.0,48.05,48.1,53.7
BLIMP FAST,3.0,47.05,47.15,53.15
BLIMP FAST,4.0,49.0,49.05,56.8
BLIMP FAST,5.0,47.35,47.85,55.6
BLIMP FAST,6.0,49.55,51.05,57.45
BLIMP FAST,7.0,51.45,51.0,57.05
BLIMP FAST,8.0,52.6,52.3,57.85
BLIMP FAST,9.0,50.85,52.35,58.15
BLIMP FAST,10.0,53.9,53.3,62.55
BLIMP FAST,20.0,58.55,55.7,66.4
BLIMP FAST,30.0,61.95,61.1,69.6
BLIMP FAST,40.0,65.05,65.05,72.2
BLIMP FAST,50.0,67.35,67.6,74.0
BLIMP FAST,60.0,65.85,66.9,75.1
BLIMP FAST,70.0,68.55,69.1,75.95
BLIMP FAST,80.0,69.75,70.95,78.7
BLIMP FAST,90.0,70.15,70.95,78.5
BLIMP FAST,100.0,70.1,70.7,79.05
EWOK FAST,1.0,51.0,51.0,49.09
EWOK FAST,2.0,50.55,50.55,50.55
EWOK FAST,3.0,50.82,50.82,51.0
EWOK FAST,4.0,51.0,51.09,51.0
EWOK FAST,5.0,50.91,50.73,50.18
EWOK FAST,6.0,51.91,51.0,51.64
EWOK FAST,7.0,50.45,50.55,49.36
EWOK FAST,8.0,50.64,49.36,50.27
EWOK FAST,9.0,49.91,49.91,50.18
EWOK FAST,10.0,50.09,51.0,50.18
EWOK FAST,20.0,49.55,48.27,50.64
EWOK FAST,30.0,50.18,50.27,51.09
EWOK FAST,40.0,50.0,50.0,50.73
EWOK FAST,50.0,52.0,50.91,52.09
EWOK FAST,60.0,49.18,51.18,48.55
EWOK FAST,70.0,52.36,50.91,50.09
EWOK FAST,80.0,50.55,51.73,49.45
EWOK FAST,90.0,50.64,52.45,51.09
EWOK FAST,100.0,51.18,52.0,51.27
SUPPLEMENT FAST,1.0,47.2,47.2,49.6
SUPPLEMENT FAST,2.0,52.0,52.0,53.6
SUPPLEMENT FAST,3.0,52.8,52.8,54.4
SUPPLEMENT FAST,4.0,54.8,55.6,54.8
SUPPLEMENT FAST,5.0,53.2,53.6,57.6
SUPPLEMENT FAST,6.0,52.4,54.4,55.6
SUPPLEMENT FAST,7.0,50.8,52.0,60.0
SUPPLEMENT FAST,8.0,56.8,56.4,58.4
SUPPLEMENT FAST,9.0,53.6,58.4,60.0
SUPPLEMENT FAST,10.0,59.6,58.0,59.6
SUPPLEMENT FAST,20.0,59.6,61.2,60.0
SUPPLEMENT FAST,30.0,62.8,60.0,58.0
SUPPLEMENT FAST,40.0,61.6,60.8,60.4
SUPPLEMENT FAST,50.0,61.2,60.8,60.8
SUPPLEMENT FAST,60.0,62.4,62.0,61.6
SUPPLEMENT FAST,70.0,62.8,64.4,60.0
SUPPLEMENT FAST,80.0,64.8,63.2,62.8
SUPPLEMENT FAST,90.0,65.2,63.2,64.4
SUPPLEMENT FAST,100.0,65.2,65.2,62.8
